Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitb16_mlp384_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7617, 0.6708, 0.7736
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7683, 0.6677, 0.7784
qwen_dataset_dinov3_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.7577, 0.6633, 0.7692
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0p1_hardmine_bg5, ViT-L/14, 0.7698, 0.6624, 0.7776
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_full_bg5, ViT-B/16, 0.7805, 0.6622, 0.7857
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5, ViT-B/16, 0.7794, 0.6587, 0.7832
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0p1_hardmine_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7624, 0.6572, 0.7697
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7442, 0.6558, 0.7586
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7313, 0.6498, 0.7458
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0p1_full_bg5, ViT-B/32, 0.7604, 0.6490, 0.7656
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0_effective_bg5, ViT-B/32, 0.7683, 0.6472, 0.7716
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0p1_base_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7482, 0.6423, 0.7571
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0p1_center_std_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7465, 0.6350, 0.7553
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_full_bg5, ViT-B/16, 0.7568, 0.6332, 0.7658
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7292, 0.6290, 0.7404
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0p1_center_std_bg5, ViT-L/14, 0.7355, 0.6187, 0.7457
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.6862, 0.6026, 0.6966
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6957, 0.5999, 0.7044
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0p1_center_std_bg5, ViT-L/14, 0.6971, 0.5951, 0.7143
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0p1_base_bg5, ViT-L/14, 0.6992, 0.5942, 0.7145
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_hardmine_bg5, ViT-B/16, 0.6859, 0.5775, 0.7027
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0p1_center_std_bg5, ViT-B/32, 0.6804, 0.5771, 0.6945
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_base_bg5, ViT-B/16, 0.6910, 0.5756, 0.7065
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6539, 0.5754, 0.6708
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.6525, 0.5751, 0.6712
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_center_std_bg5, ViT-B/16, 0.6795, 0.5743, 0.6953
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.6576, 0.5704, 0.6743
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0p1_hardmine_bg5, ViT-L/14, 0.6773, 0.5701, 0.7000
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0_gelu_ln_bg5, ViT-L/14, 0.6734, 0.5701, 0.6922
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0_gelu_ln_bg5, ViT-L/14, 0.6695, 0.5685, 0.6841
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0p1_base_bg5, ViT-L/14, 0.6820, 0.5673, 0.7037
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6477, 0.5672, 0.6593
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0_calib_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6376, 0.5617, 0.6558
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0_calib_bg5, ViT-L/14, 0.6336, 0.5527, 0.6521
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0p1_base_bg5, ViT-B/32, 0.6686, 0.5507, 0.6837
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0_calib_bg5, ViT-L/14, 0.6383, 0.5491, 0.6564
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0p1_base_bg5, ViT-B/32, 0.6284, 0.5434, 0.6502
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_calib_bg5, ViT-B/16, 0.6285, 0.5411, 0.6434
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0p1_hardmine_bg5, ViT-B/32, 0.6426, 0.5400, 0.6629
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5, ViT-B/16, 0.6487, 0.5358, 0.6732
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5, ViT-B/16, 0.6207, 0.5262, 0.6470
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5, ViT-B/16, 0.6024, 0.5091, 0.6244
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5, ViT-B/32, 0.6027, 0.5063, 0.6245
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5, ViT-B/32, 0.6034, 0.5056, 0.6260
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5, ViT-B/16, 0.5854, 0.5049, 0.6044
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0_gelu_ln_bg5, ViT-B/32, 0.5788, 0.4995, 0.5907
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0_calib_bg5, ViT-B/32, 0.5802, 0.4993, 0.5890
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_gelu_ln_bg5, ViT-B/16, 0.5701, 0.4943, 0.5848
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5, ViT-B/16, 0.5752, 0.4936, 0.5877
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5, ViT-B/32, 0.5656, 0.4835, 0.5824
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0_calib_bg5, ViT-B/32, 0.5553, 0.4804, 0.5759
