Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7632, 0.6585, 0.7723
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0_full_bg5, ViT-B/32, 0.7688, 0.6567, 0.7730
qwen_dataset_dinov3_vits16_mlp128_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7370, 0.6545, 0.7524
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_effective_bg5, ViT-B/16, 0.7738, 0.6524, 0.7800
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7549, 0.6466, 0.7641
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7611, 0.6446, 0.7704
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0p1_calib_bg5, ViT-L/14, 0.7453, 0.6364, 0.7551
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0p1_gelu_ln_bg5, ViT-L/14, 0.7527, 0.6346, 0.7615
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0p1_calib_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7444, 0.6340, 0.7541
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7183, 0.6291, 0.7310
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0p1_gelu_ln_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7295, 0.6269, 0.7431
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_full_bg5, ViT-B/16, 0.7540, 0.6261, 0.7593
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7179, 0.6221, 0.7262
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0p1_effective_bg5, ViT-B/32, 0.7487, 0.6216, 0.7534
qwen_dataset_dinov3_vit7b16_sat493m_mlp2048_1024_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7214, 0.6187, 0.7345
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7008, 0.6126, 0.7173
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7003, 0.6084, 0.7113
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0p1_calib_bg5, ViT-L/14, 0.7241, 0.6008, 0.7395
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6993, 0.5982, 0.7139
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0p1_gelu_ln_bg5, ViT-L/14, 0.7036, 0.5945, 0.7176
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0_hardmine_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6991, 0.5918, 0.7123
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_calib_bg5, ViT-B/16, 0.6911, 0.5864, 0.7065
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, ViT-B/16, 0.6807, 0.5724, 0.6994
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, ViT-B/32, 0.6735, 0.5724, 0.6905
qwen_dataset_dinov3_vitl16_sat493m_mlp768_384_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6697, 0.5697, 0.6835
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0_base_bg5, ViT-L/14, 0.6581, 0.5697, 0.6767
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0_hardmine_bg5, ViT-L/14, 0.6689, 0.5676, 0.6860
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0p1_calib_bg5, ViT-B/32, 0.6719, 0.5670, 0.6901
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0_base_bg5, ViT-L/14, 0.6584, 0.5648, 0.6736
qwen_dataset_dinov3_vitl16_sat493m_mlp1024_512_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.6632, 0.5612, 0.6756
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0_hardmine_bg5, ViT-L/14, 0.6452, 0.5605, 0.6632
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0_center_std_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.6527, 0.5533, 0.6682
qwen_dataset_clip_vitl14_mlp512_mix0p1_balnorm_ls0_center_std_bg5, ViT-L/14, 0.6448, 0.5494, 0.6652
qwen_dataset_clip_vitl14_mlp768_384_mix0p1_balnorm_ls0_center_std_bg5, ViT-L/14, 0.6251, 0.5350, 0.6455
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_calib_bg5, ViT-B/16, 0.6297, 0.5306, 0.6562
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_hardmine_bg5, ViT-B/16, 0.6116, 0.5164, 0.6265
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0_base_bg5, ViT-B/32, 0.5897, 0.5142, 0.6064
qwen_dataset_dinov3_vit7b16_sat493m_mlp1536_768_mix0p1_balnorm_ls0_base_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.5911, 0.5138, 0.6029
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, ViT-B/16, 0.5909, 0.5072, 0.6152
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0p1_calib_bg5, ViT-B/32, 0.5973, 0.5031, 0.6202
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_center_std_bg5, ViT-B/16, 0.5919, 0.5028, 0.6027
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0p1_gelu_ln_bg5, ViT-B/32, 0.5856, 0.5001, 0.6097
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0_hardmine_bg5, ViT-B/32, 0.5853, 0.4985, 0.5975
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_base_bg5, ViT-B/16, 0.5862, 0.4974, 0.6043
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0_center_std_bg5, ViT-B/32, 0.5754, 0.4928, 0.5899
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0_hardmine_bg5, ViT-B/32, 0.5632, 0.4914, 0.5789
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_hardmine_bg5, ViT-B/16, 0.5750, 0.4910, 0.5952
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_base_bg5, ViT-B/16, 0.5627, 0.4888, 0.5775
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_center_std_bg5, ViT-B/16, 0.5679, 0.4882, 0.5834
qwen_dataset_clip_vitb32_mlp256_mix0p1_balnorm_ls0_base_bg5, ViT-B/32, 0.5613, 0.4882, 0.5801
qwen_dataset_clip_vitb32_mlp512_256_mix0p1_balnorm_ls0_center_std_bg5, ViT-B/32, 0.5447, 0.4829, 0.5524
